编号	专业分类	年级	性别	Q1	Q2	Q3	Q4	Q5	Q61	Q62	Q63	Q64	Q65	Q66	Q67	Q68	Q69	Q610	Q611	Q612	Q613	Q614	Q615	Q616
157	2	1	1	1	1	2	1	2	2	2	2	2	2	1	2	2	2	2	5	4	3	3	5	4
158	2	1	1	1	1	1	1	2	2	2	2	2	2	1	2	1	2	2	5	5	3	1	2	5
159	5	1	1	1	1	 	1	1	2	2	2	2	2	1	2	5	2	2	3	3	3	3	5	4
160	4	1	1	1	1	1	1	2	2	2	2	2	2	1	2	1	2	2	1	5	2	2	4	3
161	4	1	1	1	1	2	1	2	2	2	2	3	2	1	2	1	2	2	3	0	3	4	5	3
162	5	1	1	1	1	3	1	1	2	2	2	3	2	1	2	3	2	2	2	3	3	3	5	3
163	1	1	1	1	1	1	1	2	2	2	2	3	2	1	2	1	2	2	4	5	4	4	4	3
164	2	1	1	1	1	2	1	2	2	2	2	3	2	1	2	2	2	2	5	5	4	2	4	3
165	4	1	1	1	1	1	1	3	2	2	2	3	2	1	2	3	2	2	2	0	5	5	0	0
166	1	1	1	1	1	2	1	5	2	2	2	3	2	1	2	2	2	2	4	4	4	3	4	2
167	1	1	1	1	1	2	1	1	2	2	2	3	2	1	2	4	2	2	3	1	3	5	5	3
168	4	1	1	1	1	1	1	2	2	2	2	3	2	1	2	3	2	2	3	3	5	2	5	2
169	1	2	1	1	1	2	1	3	2	2	2	3	2	1	2	4	2	2	5	4	3	3	3	2
170	3	2	1	1	1	1	1	3	2	2	2	3	2	1	2	2	2	2	3	2	2	2	4	5
171	2	2	1	1	1	2	1	2	2	2	2	3	2	1	2	2	2	2	4	1	2	3	4	3
172	3	2	1	1	1	1	1	2	2	2	2	3	2	1	2	3	2	2	4	4	3	4	5	3
173	1	2	1	1	1	2	1	2	2	2	2	3	2	1	2	1	2	2	5	5	3	4	5	4
174	1	2	1	1	1	2	1	3	2	2	2	3	2	1	2	3	2	2	5	3	3	2	4	4
175	1	2	1	1	1	2	1	3	2	2	2	3	2	1	2	3	2	2	2	1	3	4	1	2
176	2	2	1	1	1	3	1	2	2	2	2	3	2	1	2	2	2	2	5	4	5	4	5	3
177	4	2	1	1	1	2	1	5	2	2	2	3	2	1	2	2	2	2	3	3	2	3	3	2
178	2	2	1	1	1	2	1	3	2	2	2	3	2	1	2	3	2	2	0	0	4	5	5	0
179	2	2	1	1	1	1	1	5	2	2	2	3	2	1	2	1	2	2	4	3	2	3	3	3
180	4	2	1	1	1	2	1	2	2	2	2	3	2	1	2	4	2	2	5	4	3	3	4	3
181	2	2	1	1	1	2	1	3	2	2	2	3	2	1	2	5	2	2	5	2	3	4	4	2
182	1	2	1	1	1	3	1	1	2	2	2	3	2	1	2	4	2	2	4	2	2	2	4	2
183	5	2	1	1	1	2	1	3	2	2	2	3	2	1	2	3	2	2	3	3	3	3	5	3
184	2	2	1	1	1	2	1	2	2	2	2	3	2	1	2	1	2	2	4	4	2	2	5	2
185	1	2	1	1	1	2	1	3	2	2	2	3	2	1	2	2	2	2	4	2	2	2	5	4
186	4	2	1	1	1	2	1	2	2	2	2	3	2	1	2	2	2	2	4	4	5	5	5	4
187	1	2	1	1	1	3	1	2	2	2	2	3	2	1	2	5	2	2	5	3	3	5	5	5
188	2	2	1	1	1	1	1	2	2	2	2	3	2	1	2	3	2	2	2	1	4	2	3	3
189	3	2	1	1	1	1	1	5	2	2	2	3	2	1	2	2	2	2	5	3	4	2	3	3
190	4	2	1	1	1	2	1	1	2	2	2	3	2	1	2	2	2	2	5	0	3	3	4	2
191	4	2	1	1	1	3	1	3	2	2	2	3	2	1	2	4	2	2	0	0	5	5	4	3
192	5	2	1	1	1	1	1	5	2	2	2	3	2	1	2	1	2	2	5	3	0	3	5	0
193	2	2	1	1	1	2	1	5	2	2	2	3	2	1	2	5	2	2	4	2	4	5	5	1
194	2	2	1	1	1	2	1	3	2	3	2	3	2	1	2	3	2	2	3	2	3	3	4	2
195	1	2	1	1	1	2	1	3	2	3	2	3	2	1	2	2	2	2	4	3	3	4	5	3
196	1	2	1	1	1	2	1	2	2	3	2	3	2	1	2	2	2	2	4	2	3	2	4	3
197	1	2	1	1	1	2	1	2	2	3	2	3	2	1	2	5	2	2	5	5	3	2	5	1
198	1	2	1	1	1	3	1	1	2	3	2	3	2	1	2	4	2	2	1	5	5	4	5	3
199	1	2	1	1	1	2	1	5	2	3	2	3	2	1	2	4	2	2	4	2	2	3	4	3
200	2	2	1	1	1	2	1	3	2	3	2	3	2	1	2	4	2	2	4	3	4	4	5	3
201	2	2	1	1	1	1	1	2	3	3	2	3	2	1	2	3	2	2	3	2	3	2	5	3
202	1	3	1	1	1	2	1	2	3	3	2	3	2	1	2	1	2	2	4	0	0	0	4	3
203	1	3	1	1	1	1	1	1	3	3	2	3	2	1	2	4	2	2	4	4	4	5	5	3
204	1	3	1	1	1	2	1	3	3	3	2	3	2	1	2	1	2	2	2	2	4	4	4	4
205	4	3	1	1	1	1	1	3	3	3	2	3	2	1	2	4	2	2	5	2	3	5	4	2
206	2	3	1	1	1	2	1	3	3	3	2	3	2	1	2	5	2	2	4	1	2	1	5	2
207	4	3	1	1	1	1	1	2	3	3	2	3	2	1	2	2	2	2	3	2	3	3	3	5
208	4	3	1	1	1	2	1	2	3	3	2	3	2	1	2	2	2	2	4	1	1	3	3	3
209	4	3	1	1	1	2	1	2	3	3	2	3	2	1	2	2	2	2	4	2	2	2	4	2
210	3	3	1	1	1	2	1	3	3	3	2	3	2	1	2	4	2	2	4	3	2	2	4	2
